request_num,size,duration
2,512,.038270729
9,512,.050656760
3,512,.037126699
6,512,.045830844
16,512,.064968639
5,1024,.100314496
14,512,.086367944
7,512,.101363284
4,512,.105262450
19,1024,.116181913
15,512,.099417168
18,512,.116720976
17,512,.129542593
1,1024,.040058768
32,512,.135850823
40,1024,.129087200
22,1024,.139034876
42,1024,.122107501
11,512,.140767269
29,512,.139565932
44,512,.139218944
21,1024,.157560254
25,512,.157229266
37,1024,.166975027
34,1024,.139098263
10,512,.176586692
26,1024,.186544105
8,1024,.188365199
30,1024,.177469739
13,512,.177421745
28,512,.171694923
54,512,.150634570
20,512,.143386338
27,1024,.162287735
62,1024,.163023350
61,512,.144602063
35,1024,.219983634
69,512,.153690976
43,512,.179753904
90,1024,.173302421
23,1024,.239090352
12,512,.237181881
92,1024,.201329907
55,1024,.194232142
39,512,.254200296
47,1024,.249585901
33,512,.263026248
66,512,.213483816
73,1024,.200037930
31,512,.276341248
51,512,.242874911
64,1024,.243866923
52,512,.221898856
59,1024,.282282772
38,512,.288371780
49,512,.257537508
41,512,.326395389
67,1024,.253728243
71,1024,.260155566
58,1024,.285196542
88,512,.237043189
46,1024,.332660430
36,512,.331033878
89,1024,.249180229
45,512,.359053756
53,1024,.353280352
74,512,.311394069
78,1024,.309771833
65,1024,.283964153
87,1024,.286940131
50,1024,.349196910
93,1024,.354814479
48,1024,.403542302
68,512,.374408049
70,512,.373640915
83,512,.318677199
75,512,.345434844
82,512,.326474970
24,1024,.468615859
81,512,.437693685
63,512,.425461336
79,512,.430412179
98,512,.380040247
99,1024,.381767497
97,1024,.420325846
85,512,.431411838
95,1024,.412439714
56,512,.402524173
91,512,.447115486
80,512,.445940207
86,512,.427585442
57,512,.543247209
77,1024,.466908681
76,1024,.493416495
96,1024,.498553187
72,1024,.460452442
60,512,.518274749
94,512,.534793880
104,512,.467731809
84,512,.525332287
101,1024,.506032513
103,1024,.466956935
113,1024,.462586081
117,1024,.472725113
120,512,.490340780
100,512,.553160108
115,512,.448492844
130,512,.500363628
122,512,.514441091
106,1024,.538444115
107,1024,.531771855
111,512,.517370008
114,512,.536020502
108,1024,.557040943
112,512,.516116012
133,512,.523779933
123,512,.505178728
102,512,.510649833
132,512,.536946862
127,512,.553783757
125,512,.503578523
105,512,.532144472
121,512,.520109975
150,512,.522865074
144,512,.518951413
109,1024,.555813588
146,512,.548372164
137,1024,.583001835
124,512,.569339038
139,1024,.569220463
151,1024,.558327474
140,1024,.596729635
142,1024,.595941065
134,1024,.610194221
129,512,.585248119
131,512,.635786823
110,1024,.599392112
145,512,.599798621
126,1024,.631849970
118,1024,.632746979
135,512,.632771953
165,1024,.600057643
163,1024,.622493395
147,512,.622635299
136,1024,.660388620
116,512,.717634246
141,1024,.646668350
149,1024,.669422225
148,1024,.666541982
172,1024,.638909592
161,512,.647031841
128,1024,.700918185
175,1024,.654526845
119,512,.630148951
173,512,.650288328
181,512,.657831062
154,512,.660965167
162,1024,.651831016
178,512,.669956026
138,512,.701880145
156,512,.697295600
179,512,.680317531
168,1024,.717686980
159,512,.707850305
164,512,.678774463
194,512,.665355761
176,1024,.699761309
185,1024,.680512110
152,1024,.748355826
160,512,.703913451
171,1024,.719949155
187,1024,.691443053
166,1024,.726312927
155,1024,.755146554
143,1024,.766349027
196,512,.706307532
153,512,.766742847
170,1024,.769539024
190,512,.743040546
186,1024,.724812201
169,512,.755831573
182,512,.782204531
158,1024,.797648680
174,512,.792431797
167,512,.771674694
200,512,.753044156
189,512,.779057056
204,1024,.762196420
183,1024,.788760232
192,1024,.777055215
211,1024,.764827531
157,512,.793951958
177,512,.809975590
210,1024,.751616034
191,512,.817850043
188,512,.808242035
201,512,.786593273
180,1024,.830690532
184,1024,.828253255
195,1024,.837007965
193,512,.831292301
208,512,.799501839
224,1024,.796741288
217,512,.815961207
198,1024,.820530390
197,512,.838600997
199,512,.812798737
212,512,.829064955
209,512,.848473997
202,512,.830975372
213,1024,.816709091
203,512,.852686807
223,512,.820480014
206,1024,.875010973
220,512,.847912283
237,1024,.843519370
207,512,.849575355
205,512,.850429492
215,512,.854706160
219,1024,.838372688
233,1024,.861120985
240,512,.861808900
226,1024,.903004942
216,1024,.886249854
228,1024,.886517282
221,512,.912129500
222,512,.908574811
231,512,.863795816
214,1024,.899563568
253,1024,.868776907
218,1024,.871874826
247,1024,.892891878
245,1024,.911639816
265,512,.871467632
232,512,.888156075
225,512,.939128530
235,1024,.923366568
242,512,.930059274
229,1024,.910315670
227,1024,.885499790
241,512,.931361287
246,512,.928490425
255,1024,.881805668
250,1024,.898775245
260,1024,.950848808
234,512,.980521318
256,1024,.912328986
243,512,.950987912
252,512,.961647767
284,512,.911509604
295,1024,.928141692
258,512,.982381713
244,512,1.032852794
248,512,1.027109009
254,1024,1.009402969
230,1024,1.042300677
288,512,.968126619
296,1024,.945725323
272,512,.967914412
266,1024,1.014468861
251,1024,.911959189
275,512,.981406170
249,512,1.039016119
277,512,.994874032
278,512,.985096426
299,1024,.926780659
274,1024,1.016711454
259,1024,1.053016107
282,1024,.985246937
270,1024,1.017500225
264,1024,1.016036536
291,512,1.020041380
239,1024,1.110256975
290,1024,1.020537730
268,512,1.083463412
269,1024,1.086742215
294,1024,1.056381620
287,1024,1.072557522
283,512,1.085704586
289,1024,1.046369104
292,512,1.063440744
298,1024,1.034398223
262,1024,1.125998371
273,512,1.114204435
281,512,1.094592190
257,512,1.157179850
303,1024,1.081711648
261,512,1.165937425
263,512,1.161816830
306,512,1.043093886
320,1024,1.045828547
271,1024,1.164147218
300,1024,1.097145291
279,512,1.143350333
285,1024,1.139025712
236,1024,1.227936160
308,512,1.084750323
293,1024,1.069169916
316,512,1.058089131
333,1024,1.043937672
305,1024,1.116672757
286,512,1.131536247
297,1024,1.114272389
312,512,1.076648694
238,512,1.179154024
330,512,1.076118479
302,1024,1.112642187
301,1024,1.141840250
267,512,1.124325480
317,512,1.066068742
336,1024,1.070554743
276,512,1.206918153
332,1024,1.067073072
328,512,1.118027814
310,1024,1.133191822
322,512,1.095197289
318,512,1.163916698
326,512,1.120512978
337,512,1.103140263
315,1024,1.123885335
280,1024,1.261907199
319,1024,1.173680508
323,1024,1.158795747
311,1024,1.158276281
334,1024,1.163862202
321,1024,1.191593578
324,512,1.192097533
313,1024,1.236067934
325,1024,1.208466925
348,512,1.136798710
327,512,1.229188120
307,1024,1.255429846
304,1024,1.278463826
341,512,1.173388509
329,1024,1.191120007
344,512,1.166692194
338,1024,1.176903788
335,512,1.199843111
314,512,1.305380991
345,1024,1.163747637
342,1024,1.169326605
349,1024,1.170361083
354,1024,1.150415380
352,512,1.174909115
356,1024,1.186437681
343,1024,1.206944721
361,1024,1.162596061
340,1024,1.223563830
351,1024,1.187803076
309,512,1.276689418
339,1024,1.181040406
331,512,1.198835725
369,1024,1.187668976
347,1024,1.234489797
376,512,1.148523373
360,1024,1.200521353
367,1024,1.167646596
373,512,1.156736508
362,1024,1.207151016
353,512,1.229673388
377,512,1.189920728
382,1024,1.194020066
355,1024,1.242901424
380,1024,1.165417736
346,1024,1.254117436
365,512,1.180486107
381,1024,1.223358628
366,512,1.231493514
364,1024,1.280673402
372,512,1.280563634
358,1024,1.299620553
350,512,1.310046646
370,1024,1.292997238
357,1024,1.266183406
383,512,1.241074690
393,512,1.241277155
396,1024,1.249895824
371,512,1.278161621
359,512,1.240538157
384,1024,1.257286613
378,1024,1.264169416
379,512,1.267391384
374,1024,1.250820728
363,512,1.307356599
387,512,1.226987106
368,1024,1.337096118
389,1024,1.261887540
386,512,1.246559020
375,1024,1.300949578
394,1024,1.247009688
405,1024,1.246166884
388,1024,1.268575948
391,512,1.286415131
398,1024,1.259179312
410,1024,1.274312809
409,1024,1.257883857
406,512,1.260783063
413,512,1.249994732
403,1024,1.274342097
411,512,1.280616254
390,1024,1.312709689
385,512,1.307578810
395,512,1.323982358
418,512,1.283784938
401,1024,1.285361495
397,512,1.316565388
407,512,1.320167333
424,512,1.294699133
412,1024,1.329540117
402,1024,1.327339508
417,512,1.319810888
399,512,1.315967556
428,1024,1.287410070
392,1024,1.316489861
426,1024,1.320320077
416,1024,1.335643181
404,1024,1.327316187
427,1024,1.298686626
421,1024,1.315067646
422,1024,1.323652290
415,512,1.319784566
430,512,1.331717230
400,512,1.376395234
435,512,1.346067655
408,512,1.381935323
442,1024,1.347055938
